band_name,fans,formed,origin,style,split
Vomitory,166,1989,Sweden,Death,2013
Born Of Osiris,165,2003,USA,Progressive deathcore,2003
Sleep,165,1990,USA,Stoner,-
Unearth,165,1998,USA,Metalcore,1998
Forest Of Shadows,164,1997,Sweden,"Death doom,Atmospheric doom",-
Goatwhore,164,1997,USA,"Blackened thrash,Blackened death",1997
Noumena,164,1998,Finland,Melodic death,-
Stream Of Passion,164,2005,The Netherlands,Symphonic progressive,2005
White Zombie,164,1985,USA,"Noise rock,Alternative thrash,Industrial",1998
Onslaught,162,1983,United Kingdom,Thrash,1983
Thin Lizzy,162,1969,Ireland,"Hard rock,Heavy",-
Ulcerate,162,2000,New Zealand,Technical death,2000
Battlelore,161,1999,Finland,"Folk,Power",-
Black Sun Aeon,161,2008,Finland,"Melodic death,Doom",2008
Lacrimas Profundere,161,1993,Germany,"Doom,Gothic",-
Nocturnal Rites,161,1990,Sweden,Power,1990
Heathen,160,1984,USA,Bay area thrash,-
Pelican,160,2001,USA,Instrumental post-metal,2001
Acid Bath,159,1990,USA,"Doom,Sludge",1997
Amberian Dawn,158,2006,Finland,Symphonic power,2006
Converge,158,1990,USA,"Metalcore,Hardcore,Post-hardcore,Punk",-
Serenity,158,2001,Austria,Symphonic power,2001
Star One,158,2002,The Netherlands,Progressive,-
Mar De Grises,157,2000,Chile,Doom,2000
Wolfheart,157,2013,Finland,Melodic death,-
Darkspace,156,1999,Switzerland,Ambient black,1999
Legion Of The Damned,156,2005,The Netherlands,"Thrash,Death",-
Liquid Tension Experiment,155,1998,USA,"Progressive,Instrumental",1998
Tarot,155,1985,Finland,Power,-
The Sins Of Thy Beloved,154,1996,Norway,Symphonic gothic,1996
The Vision Bleak,154,2000,Germany,Gothic,-
Fallujah,153,2007,USA,"Progressive death,Technical deathcore",2007
Witherscape,153,2013,Sweden,"Atmospheric death,Extreme progressive",-
Einherjer,152,1993,Norway,Viking folk,1993
Primus,152,1984,USA,"Alternative,Experimental rock",-
Sunn O))),152,1998,USA,"Drone doom,Dark,Ambient",1998
Airbourne,151,2001,Australia,Hard rock,-
Decrepit Birth,151,2001,USA,"Brutal death,Technical death",2001
Grand Magus,151,1996,Sweden,"Doom,Heavy",-
Uriah Heep,151,1969,United Kingdom,Hard rock,1969
Flotsam And Jetsam,150,1983,USA,Thrash,-
Blotted Science,149,2005,USA,"Progressive,Instrumental",2005
Limbonic Art,149,1993,Norway,"Symphonic black,Black",-
Shadow Gallery,149,1985,USA,Progressive,1985
Fen,148,2006,United Kingdom,"Atmospheric black,Post-rock",-
Skyfire,148,1995,Sweden,Extreme power,1995
Corrosion Of Conformity,146,1982,USA,Stoner,-
Vanden Plas,146,1990,Germany,"Power,Progressive",1990
Halford,145,1999,United Kingdom,Heavy,-
In Extremo,145,1995,Germany,Medieval folk,1995
Mg?a,145,2000,Poland,Black,-
Solution .45,145,2007,Sweden,Melodic death,2007
Whispered,145,2001,Finland,Extreme power,-
Diamond Head,144,1976,United Kingdom,"New wave of british heavy,Heavy",1976
Hate,144,1990,Poland,Death,-
God Dethroned,143,1990,The Netherlands,"Death,Thrash",1990
Vreid,143,2004,Norway,Black,-
In The Silence,142,2009,USA,Progressive,2009
Static-X,142,1994,USA,"Nu,Industrial,Alternative",2013
Nachtmystium,141,2000,USA,"Black,Psychedelic black",2000
Royal Hunt,141,1989,Denmark,Symphonic power,-
Xasthur,141,1995,USA,Depressive black,1995
Suicidal Angels,140,2001,Greece,Thrash,-
Wolfchant,140,2003,Germany,"Pagan folk,Melodic death",2003
ReVamp,139,2009,The Netherlands,"Symphonic,Progressive",2016
Sadus,139,1984,USA,"Death,Technical thrash",1984
Blackfield,138,2000,Israel,"Progressive rock,Avantgarde rock",-
Nightrage,138,2000,"Greece, Sweden",Melodic death,2000
The 69 Eyes,138,1990,Finland,"Gothic,Glam rock,Gothic rock,Punk rock",-
Pyramaze,137,2001,Denmark,Progressive power,2001
Serj Tankian,137,2007,USA,"Alternative,Hard rock",-
Gloryhammer,136,2010,United Kingdom,Power,2010
Hour Of Penance,136,1999,Italy,Brutal death,-
Kalisia,136,1994,France,Progressive death,1994
Nargaroth,136,1996,Germany,Black,-
Trail Of Tears,136,1996,Norway,Gothic,1996
Sanctuary,135,1985,USA,Us power,-
Woods Of Desolation,135,2005,Australia,Atmospheric black,2005
Agathodaimon,134,1995,Germany,"Symphonic black,Extreme gothic",2014
Sinergy,134,1997,"Sweden, Finland","Heavy,Power",1997
Sonic Syndicate,134,2002,Sweden,"Gothenburg,Metalcore",-
Wuthering Heights,134,1989,Denmark,"Progressive power,Folk",1989
I,133,2006,Norway,Blackened heavy,-
Heavenwood,132,1992,Portugal,"Death,Gothic,Gothic doom",1992
Pig Destroyer,132,1997,USA,Grindcore,-
Doro,131,1987,Germany,"Hard rock,Heavy",1987
Incantation,131,1989,USA,Death,-
Virgin Steele,131,1981,USA,"Heavy,Symphonic",1981
Anvil,130,1978,Canada,Heavy,-
Bal-Sagoth,130,1989,United Kingdom,"Symphonic black,Power",1989
Crowbar,130,1989,USA,Sludge,-
Mourning Beloveth,130,1992,Ireland,Death doom,1992
Oranssi Pazuzu,130,2007,Finland,Psychedelic black,-
Saor,130,2013,United Kingdom,"Atmospheric black,Folk",2013
Ancient Bards,129,2006,Italy,Symphonic power,-
Dark Lunacy,129,1997,Italy,"Melodic death,Symphonic",1997
Fairyland,129,1998,France,Symphonic power,-
Gama Bomb,129,2002,Ireland,Thrash,2002
In The Woods...,129,1991,Norway,"Black,Avantgarde,Progressive",-
Leviathan,129,1998,USA,Ambient black,1998
Sybreed,129,2003,Switzerland,"Groove thrash,Industrial",2013
Spiritual Beggars,127,1992,Sweden,"Heavy,Stoner",1992
In This Moment,126,2005,USA,"Melodic metalcore,Alternative",-
Saint Vitus,126,1979,USA,Doom,1979
U.D.O.,126,1987,Germany,Heavy,-
Atreyu,125,1998,USA,"Melodic metalcore,Alternative",1998
Communic,125,2003,Norway,Progressive,-
Godflesh,125,1988,United Kingdom,Industrial,1988
Nightingale,125,1994,Sweden,"Gothic,Progressive",-
Anubis Gate,124,2001,Denmark,"Progressive,Power",2001
Deströyer 666,124,1994,"Australia, United Kingdom",Blackened thrash,-
Europe,124,1979,Sweden,"Heavy,Hard rock",1979
Pentagram,124,1971,USA,Doom,-
Zyklon,124,1998,Norway,"Black,Death",1998
Aeon,122,1999,Sweden,Death,-
Orden Ogan,122,1996,Germany,"Medieval folk,Power",1996
Skyclad,122,1990,United Kingdom,Folk,-
Stormlord,122,1991,Italy,Symphonic black,1991
X Japan,122,1982,Japan,Power,-
Aquilus,121,2000,Australia,"Atmospheric black,Symphonic black,Ambient",2000
Hail Spirit Noir,121,2010,Greece,"Blackened progressive,Psychedelic rock",-
Wine From Tears,121,2002,Russia,Death doom,2002
Amesoeurs,120,2004,France,"Black,Shoegaze",2009
Kampfar,120,1994,Norway,"Black,Folk",1994
Unisonic,120,2009,Germany,"Melodic power,Hard rock",-
Visions Of Atlantis,120,2000,Austria,Symphonic,2000
Karnivool,119,1996,Australia,"Alternative,Progressive",-
OSI,119,2003,USA,Progressive,2003
Ouroboros,119,2001,Australia,"Technical death,Thrash",-
Russian Circles,119,2004,USA,Post-metal,2004
Vulture Industries,119,1998,Norway,"Avantgarde,Progressive",-
Blue Öyster Cult,118,1967,USA,Hard rock,1967
Drowning Pool,118,1996,USA,Alternative,-
Hellhammer,118,1982,Switzerland,First wave of black,1982
Benediction,117,1989,United Kingdom,Death,-
Blood Red Throne,117,1998,Norway,Death,1998
Gwar,117,1985,USA,"Alternative,Thrash,Hardcore,Punk",-
Illnath,117,1997,Denmark,Symphonic black,1997
Crimson Glory,116,1982,USA,Progressive heavy,-
James LaBrie,116,1998,Canada,Progressive,1998
Witchcraft,116,2000,Sweden,Stoner,-
Darkest Hour,115,1995,USA,"Melodic death,Metalcore",1995
Otep,115,2000,USA,"Nu,Alternative",-
Red Fang,115,2005,USA,"Stoner,Stoner rock",2005
Sacred Reich,115,1985,USA,"Speed,Thrash",-
Solefald,115,1995,Norway,"Progressive black,Avantgarde",1995
Solitude Aeturnus,115,1987,USA,Doom,-
Cruachan,114,1992,Ireland,Celtic folk,1992
D.R.I.,114,1982,USA,"Crossover thrash,Hardcore,Punk",-
Exhumed,114,1991,USA,Deathgrind,1991
Forefather,114,1997,United Kingdom,"Folk,Black",-
The Ruins Of Beverast,114,2003,Germany,"Black,Doom",2003
Vision Divine,114,1998,Italy,Power,-
Dokken,113,1977,USA,Heavy,1977
Hollenthon,113,1994,Austria,"Symphonic,Melodic death",-
Mägo De Oz,113,1989,Spain,"Heavy,Folk",1989
Tribulation,113,2001,Sweden,"Thrash,Death,Black",-
Battle Beast,112,2008,Finland,Heavy,2008
Bring Me The Horizon,112,2004,United Kingdom,"Metalcore,Deathcore,Post-hardcore",-
Ex Deo,112,2008,Canada,Symphonic death,2008
Metsatöll,112,1999,Estonia,"Heavy,Folk",-
Skepticism,112,1991,Finland,Funeral doom,1991
Dordeduh,111,2009,Romania,Atmospheric black,-
Redemption,111,2000,USA,Progressive,2000
Scale The Summit,111,2004,USA,"Progressive,Instrumental",-
Vildhjarta,111,2005,Sweden,"Progressive math,Djent",2005
Blood Stain Child,110,2000,Japan,"Extreme power,Trancecore,Melodic death",-
Gorefest,110,1989,The Netherlands,"Death,Hard rock",1989
Intronaut,110,2004,USA,"Post-metal,Atmospheric sludge",-
Monster Magnet,110,1989,USA,Stoner,1989
Sinister,110,1989,The Netherlands,Death,-
Impaled Nazarene,109,1990,Finland,"Black,Grindcore,Crust punk",1990
Kiuas,109,2000,Finland,Power,2013
While Heaven Wept,109,1989,USA,"Doom,Progressive power",1989
Brymir,108,2006,Finland,Extreme folk,-
Celesty,108,1998,Finland,Power,1998
Darkseed,108,1992,Germany,Gothic,-
Die Apokalyptischen Reiter,108,1995,Germany,"Death,Heavy",1995
Gris,108,2006,Canada,Depressive black,-
Orange Goblin,108,1995,United Kingdom,Stoner,1995
The Crown,108,1998,Sweden,"Death,Thrash",-
Theocracy,108,2002,USA,Progressive power,2002
Violator,108,2002,Brazil,Thrash,-
Mechina,107,2004,USA,Industrial death,2004
Necrophobic,107,1989,Sweden,Death,-
Om,107,2003,USA,"Stoner,Drone doom",2003
Vesania,107,1997,Poland,Symphonic black,-
Lifelover,106,2005,Sweden,"Depressive black,Post-punk",2005
The Kovenant,106,1998,Norway,Industrial,-
Monstrosity,105,1990,USA,Death,1990
Persuader,104,1997,Sweden,"Power,Heavy",-
Razor,104,1984,Canada,Thrash,1984
Svartsot,104,2005,Denmark,Folk,-
Avatarium,103,2013,Sweden,Doom,2013
Caliban,103,1997,Germany,Metalcore,-
Graveyard,103,2006,Sweden,"Hard rock,Blues rock",2006
Hail Of Bullets,103,2006,The Netherlands,Death,-
Melvins,103,1984,USA,"Sludge,Doom",1984
Oomph!,103,1989,Germany,"E,B,M ,Industrial,Industrial rock,Industrial",-
UnSun,103,2006,Poland,Gothic,2006
Vio-lence,103,1985,USA,Thrash,2005
Abbath,102,2015,Norway,Black,2015
Angelus Apatrida,102,2000,Spain,Thrash,-
Blackmore's Night,102,1997,United Kingdom,Folk rock,1997
Labyrinth,102,1991,Italy,Progressive power,-
Shining (NOR),102,1999,Norway,"Jazz,Experimental,Jazz ,Avantgarde",1999
Steel Panther,102,2000,USA,"Glam,Hard rock",-
Toxik,102,1985,USA,Technical thrash,1985
Tsjuder,102,1993,Norway,Black,-
Bilocate,101,2003,Jordan,"Blackened death,Death doom,Extreme progressive",2003
Brainstorm,101,1989,Germany,Power,-
ColdWorld,101,2005,Germany,Ambient black,2005
Forgotten Tomb,101,1999,Italy,"Doom,Black,Melodic black",-
Nasum,101,1993,Sweden,Grindcore,1993
Beherit,100,1989,Finland,"Black,Ambient",-
Lord Belial,100,1992,Sweden,Black,1992
Marillion,100,1979,United Kingdom,Progressive rock,-
Deadlock,99,1997,Germany,"Alternative,Melodic metalcore,Melodic death",1997
Dominia,99,1999,Russia,"Symphonic death,Melodic death,Gothic",-
Lazarus A.D.,99,2005,USA,Thrash,2005
Midnattsol,99,2002,Norway,"Folk,Gothic",-
Pathfinder,99,2006,Poland,Symphonic power,2006
Skyforger,99,1991,Latvia,"Black,Folk",-
Thurisaz,99,1997,Belgium,"Atmospheric black,Death doom",1997
Altar Of Plagues,98,2006,Ireland,"Black,Post-metal",2013
Angel Witch,98,1977,United Kingdom,"New wave of british heavy,Heavy",1977
Cephalic Carnage,98,1992,USA,Grindcore,-
Demon Hunter,98,2000,USA,Metalcore,2000
Neurotech,98,2007,Slovenia,"Industrial,Symphonic",-
Thy Light,98,2005,Brazil,Depressive black,2005
Abigail Williams,97,2005,USA,"Symphonic black,Metalcore,Atmospheric black",-
Aura Noir,97,1993,Norway,"Black,Thrash",1993
Enforcer,97,2005,Sweden,"Heavy,Speed",-
Hell,97,1982,United Kingdom,"New wave of british heavy,Heavy",1982
Jesu,97,2003,United Kingdom,"Drone,Shoegaze ,Post-metal",-
Obscure Sphinx,97,2008,Poland,"Post-metal,Doom,Sludge",2008
Prong,97,1986,USA,"Thrash,Industrial",-
Earth,96,1990,USA,"Drone doom,Psychedelic rock",1990
Killing Joke,96,1979,United Kingdom,"Industrial,Post-,Punk,Darkwave",-
Mr. Bungle,96,1985,USA,Avantgarde,1985
MyGrain,96,2004,Finland,Gothenburg,2015
October Falls,96,2001,Finland,"Doom,Folk,Ambient black",2001
Trees Of Eternity,96,2008,Finland,Gothic doom,-
Wilderun,96,2012,USA,Symphonic folk,2012
Disillusion,95,1994,Germany,"Extreme progressive,Progressive",-
Dreamtale,95,1998,Finland,Power,1998
Mushroomhead,95,1993,USA,"Alternative,Industrial,Nu",-
Officium Triste,95,1994,The Netherlands,Death doom,1994
Rosetta,95,2003,USA,"Post-metal,Sludge",-
Silencer,95,1995,Sweden,Black,1995
Trollfest,95,2004,Norway,Folk,-
Varg,95,2005,Germany,"Melodic black,Pagan folk",2005
Angtoria,94,2004,United Kingdom,Symphonic,2011
Blackguard,94,2001,Canada,"Gothic,Folk,Power",2001
Dir En Grey,94,1997,Japan,Alternative,-
Forest Stream,94,1995,Russia,Doom,1995
Morbid Saint,94,1986,USA,Thrash,-
Terrorizer,94,1986,USA,"Grindcore,Death",1986
Threat Signal,94,2004,Canada,Melodic death,-
Axxis,93,1988,Germany,"Heavy,Power",1988
Carnifex,93,2005,USA,Deathcore,-
Eyehategod,93,1988,USA,"Doom,Sludge",1988
Riot V,93,1976,USA,"Heavy,Hard rock",-
Stormwarrior,93,1998,Germany,Power,1998
Terra Tenebrosa,93,2009,Sweden,"Avantgarde,Ambient",-
Theatres Des Vampires,93,1994,Italy,"Symphonic black,Gothic",1994
Witchery,93,1997,Sweden,Thrash,-
Darkane,92,1998,Sweden,"Death,Thrash",1998
Diabolical Masquerade,92,1993,Sweden,Avantgarde black,2004
Gotthard,92,1992,Switzerland,Hard rock,1992
Isole,92,1990,Sweden,Epic doom,-
Dan Swanö,91,1998,Sweden,Extreme progressive,1998
Deeds Of Flesh,91,1993,USA,Brutal death,-
Thunderstone,91,2000,Finland,"Power,Heavy",2000
Warning,91,1993,United Kingdom,Epic doom,2009
Xerath,91,2007,United Kingdom,Symphonic math,2007
40 Watt Sun,90,2009,United Kingdom,Doom,-
Allen/Lande,90,2005,USA,Heavy,2005
KMFDM,90,1984,Germany,"Industrial,Dance",-
Savage Circus,90,2004,Germany,Power,2004
Beseech,89,1992,Sweden,Gothic,-
King Of Asgard,89,2008,Sweden,Viking black,2008
Machinae Supremacy,89,2000,Sweden,Power,-
Pallbearer,89,2008,USA,Doom,2008
Ratt,89,1983,USA,"Glam,Hard rock",-
The Absence,89,2002,USA,Melodic death,2002
The Project Hate MCMXCIX,89,1998,Sweden,Industrial death,-
Voyager,89,1999,Australia,Symphonic progressive,1999
Demolition Hammer,88,1986,USA,Thrash,-
Entwine,88,1999,Finland,Suomi,1999
Kivimetsän Druidi,88,2002,Finland,Symphonic folk,-
Mordab,88,2001,Iran,Progressive death,2001
Skálmöld,88,2009,Iceland,Viking folk,-
Warmen,88,2000,Finland,Progressive power,2000
Agent Steel,87,1984,USA,"Speed,Thrash",-
Anata,87,1993,Sweden,Technical death,1993
Andromeda,87,1999,Sweden,Progressive,-
Brujeria,87,1989,Mexico,"Grindcore,Death",1989
Enthroned,87,1993,Belgium,Black,-
Lantlôs,87,2005,Germany,"Atmospheric black,Post-rock",2005
Mnemic,87,1998,Denmark,"Industrial,Nu",-
Penumbra,87,1996,France,Symphonic gothic,1996
Veil Of Maya,87,2004,USA,Deathcore,-
Augury,86,2001,Canada,Technical death,2001
Austere,86,2007,Australia,Depressive black,2010
Northern Kings,86,2007,Finland,Symphonic,2007
Portal,86,1994,Australia,Experimental death,-
Rata Blanca,86,1985,Argentina,"Heavy,Hard rock,Power",1985
To/Die/For,86,1993,Finland,Suomi,2016
UFO,85,1969,United Kingdom,"Hard rock,Heavy",1969
Fields Of The Nephilim,84,1984,United Kingdom,"Gothic rock,Gothic,Death",-
Helevorn,84,1999,Spain,Gothic doom,1999
Lunatica,84,1998,Switzerland,Symphonic power,-
Aenaon,83,2005,Greece,Progressive black,2005
At Vance,83,1998,Germany,"Heavy,Power",-
Behexen,83,1994,Finland,Black,1994
Holy Grail,83,2008,USA,"Heavy,Power",-
Zonaria,83,2001,Sweden,"Power,Melodic death",2001
Dark The Suns,82,2005,Finland,Gothic,2013
Funeral,82,1991,Norway,"Funeral doom,Doom",1991
Hellyeah,82,2006,USA,Groove heavy,-
Jag Panzer,82,1981,USA,Us power,1981
Mournful Congregation,82,1993,Australia,Funeral doom,-
Ragnarok,82,1994,Norway,Black,1994
Wodensthrone,82,2005,United Kingdom,Atmospheric black,2016
Yob,82,1996,USA,"Doom,Stoner",1996
An Autumn For Crippled Children,81,2008,The Netherlands,"Atmospheric black,Post-rock,Shoegaze",-
Flowing Tears,81,1999,Germany,Gothic,1999
Helstar,81,1982,USA,"Power,Speed,Thrash",-
Mezarkabul,81,1987,Turkey,"Heavy,Thrash",1987
The 3rd And The Mortal,81,1992,Norway,"Atmospheric doom,Experimental doom,Jazz rock",2005
Abigor,80,1993,Austria,Black,1993
Bonded By Blood,80,2005,USA,Thrash,-
Sabbat,80,1985,United Kingdom,Pagan thrash,1985
Slash,80,2009,USA,"Hard rock,Blues rock",-
Turmion Kätilöt,80,2003,Finland,Industrial,2003
Almah,79,2006,Brazil,"Power,Heavy",-
Anciients,79,2010,Canada,Progressive,2010
Ark,79,1990,Norway,"Heavy,Progressive",2011
Blindead,79,1999,Poland,"Progressive,Post-metal",1999
Cobalt,79,2003,USA,Black,-
Devourment,79,1995,USA,Brutal death,1995
Divine Heresy,79,2006,USA,Death,-
Gehenna,79,1993,Norway,Black,1993
Grim Reaper,79,1979,United Kingdom,"Heavy,New wave of british heavy",1988
Iron Fire,79,1995,Denmark,"Speed,Power,Heavy",1995
Nervecell,79,2000,UAE,"Hardcore,Death",-
Nortt,79,1995,Denmark,"Funeral doom,Black",1995
Versailles,79,2007,Japan,"J rock,Power",-
Ancient Rites,78,1988,Belgium,Viking black,1988
Crimfall,78,2007,Finland,Symphonic folk,-
Exumer,78,1985,Germany,Thrash,1985
Fractal Gates,78,2007,France,Melodic death,-
Hirax,78,1984,USA,Thrash,1984
Lethian Dreams,78,2002,France,Atmospheric doom,-
Mystic Prophecy,78,2000,Germany,Power,2000
Stam1na,78,1996,Finland,"Alternative thrash,Progressive",-
Winterfylleth,78,2007,United Kingdom,"Atmospheric black,Pagan black",2007
Abysmal Dawn,77,2003,USA,Death,-
Arkan,77,2005,France,"Melodic death,Oriental folk",2005
DGM,77,1994,Italy,Progressive,-
Diabulus In Musica,77,2006,Spain,Symphonic,2006
Fair To Midland,77,1998,USA,"Progressive,Alternative",-
God Forbid,77,1996,USA,"Melodic thrash,Metalcore",1996
In Solitude,77,2002,Sweden,Heavy,2015
Kittie,77,1996,Canada,"Nu,Alternative",1996
Marty Friedman,77,1988,USA,"Neoclassical heavy,Progressive",-
Power Quest,77,2001,United Kingdom,Power,2001
Reverend Bizarre,77,1994,Finland,Doom,2007
SikTh,77,2001,United Kingdom,"Math,Progressive metalcore",2001
Skinless,77,1992,USA,Brutal death,-
Stormtroopers Of Death,77,1985,USA,"Crossover thrash,Hardcore,Punk",1985
The Angelic Process,77,1999,USA,"Drone,Ambient,Shoegaze",2007
Urgehal,77,1992,Norway,Black,1992
Armored Saint,76,1982,USA,Heavy,-
Brutal Truth,76,1990,USA,Grindcore,1990
For My Pain,76,1999,Finland,Suomi,-
Madder Mortem,76,1993,Norway,"Avantgarde,Gothic",1993
Mirrorthrone,76,2000,Switzerland,Avantgarde,-
Neuraxis,76,1994,Canada,Technical death,1994
Thrawsunblat,76,2009,Canada,Blackened folk,-
Thulcandra,76,2003,Germany,"Melodic black,Melodic death",2003
Ajattara,75,1996,Finland,Black,2012
Aria,75,1985,Russia,Heavy,1985
Boris,75,1992,Japan,"Drone doom,Psychedelic stoner",-
Despised Icon,75,2002,Canada,Deathcore,2002
Hibria,75,1996,Brazil,Heavy,-
Imperanon,75,1999,Finland,"Extreme power,Melodic death",1999
Manilla Road,75,1976,USA,"Heavy,Power",-
Shaman,75,2000,Brazil,Progressive power,2000
Vallenfyre,75,2010,United Kingdom,Death,-
Alkaloid,74,2014,Germany,Extreme progressive,2014
Bloodbound,74,2004,Sweden,Heavy,-
Caligula's Horse,74,2011,Australia,"Alternative,Progressive",2011
Damageplan,74,2003,USA,Groove metal,2004
Demonaz,74,2007,Norway,Viking black,2007
Ektomorf,74,1994,Hungary,"Groove thrash,Hardcore",-
Elis,74,2003,Liechtenstein,Gothic,2003
Nocturnus AD,74,1986,USA,"Atmospheric death,Technical death",-
Sarcófago,74,1985,Brazil,"Black,Thrash,Death",1985
Warrel Dane,74,2007,USA,"Gothic,Gothic rock",-
Whiplash,74,1984,USA,Thrash,1984
Beneath The Massacre,73,2004,Canada,"Brutal death,Technical death",-
Blaze Bayley,73,2007,United Kingdom,Heavy,2007
Bloodshot Dawn,73,2003,United Kingdom,Melodic death,-
Colosseum,73,2006,Finland,Funeral doom,2006
Derdian,73,1998,Italy,Symphonic power,-
Godgory,73,1992,Sweden,Melodic death,1992
Halestorm,73,1998,USA,Hard rock,-
Process Of Guilt,73,2002,Portugal,"Doom,Atmospheric sludge",2002
Warlock,73,1983,Germany,Heavy,1988
Lumsk,72,2000,Norway,Viking folk,2000
MaYaN,72,2010,The Netherlands,Melodic death,-
Morgoth,72,1987,Germany,"Death,Industrial",1987
Paradox,72,1986,Germany,Thrash,-
Rebellion,72,2001,Germany,"Heavy,Power",2001
Ufomammut,72,1999,Italy,"Doom,Stoner",-
As Blood Runs Black,71,2003,USA,Deathcore,2003
Astral Doors,71,2002,Sweden,Heavy,-
Babymetal,71,2010,Japan,"J-,Pop,Melodic death",2010
Demilich,71,1990,Finland,Progressive death,-
